combo,mode,combo_size,global_prob,high_R_prob,enrichment,circular_shift_p,n_event,n_high_R,n_joint,fdr_q
Venus+Mars+Jupiter,either,3,0.1447811447811448,0.3269230769230769,2.258050089445438,0.0024987506246876563,2408,832,272,0.4830709645177412
Venus+Jupiter+Neptune,either,3,0.1450817700817701,0.3076923076923077,2.1208199177531957,0.008995502248875561,2413,832,256,0.4830709645177412
Venus+Mars,either,2,0.0995069745069745,0.21033653846153846,2.1137868928654426,0.009495252373813094,1655,832,175,0.4830709645177412
Mars+Jupiter+Neptune,either,3,0.14706589706589707,0.3016826923076923,2.051343637964652,0.006496751624187906,2446,832,251,0.4830709645177412
Venus+Mars+Neptune,either,3,0.1462842712842713,0.28966346153846156,1.9801408517499763,0.00399800099950025,2433,832,241,0.4830709645177412
Mercury+Venus+Jupiter,either,3,0.14309764309764308,0.27884615384615385,1.9486425339366518,0.0079960019990005,2380,832,232,0.4830709645177412
Mercury+Venus+Mars,either,3,0.14442039442039442,0.25961538461538464,1.7976365848972011,0.0074962518740629685,2402,832,216,0.4830709645177412
Venus+Mars+Moon,either,3,0.14502164502164502,0.25600961538461536,1.7653200344431685,0.00849575212393803,2412,832,213,0.4830709645177412
Mercury+Mars+Jupiter,either,3,0.1424963924963925,0.26802884615384615,1.8809518013631936,0.010994502748625687,2370,832,223,0.4971958465211838
Mars+Jupiter,either,2,0.09722222222222222,0.21514423076923078,2.212912087912088,0.014492753623188406,1617,832,179,0.5593453273363319
Venus+Jupiter+Moon,either,3,0.14375901875901875,0.26802884615384615,1.8644315220538559,0.01649175412293853,2391,832,223,0.5593453273363319
Mars+Jupiter+Moon,either,3,0.14303751803751805,0.25721153846153844,1.798210301678145,0.015992003998001,2379,832,214,0.5593453273363319
Venus+Jupiter,either,2,0.09812409812409813,0.2283653846153846,2.32731193438914,0.01899050474762619,1632,832,190,0.5945488794064506
Jupiter+Neptune+Moon,at_least_two,3,0.00481000481000481,0.018028846153846152,3.748197115384615,0.02348825587206397,80,832,15,0.6373146759953358
Mercury+Jupiter+Neptune,either,3,0.14405964405964405,0.25721153846153844,1.7854517143957878,0.02348825587206397,2396,832,214,0.6373146759953358
Jupiter+Moon,all_overlap,2,0.0021645021645021645,0.010817307692307692,4.997596153846153,0.03498250874562719,36,832,9,0.7251591595506595
Jupiter+Moon,at_least_two,2,0.0021645021645021645,0.010817307692307692,4.997596153846153,0.0384807596201899,36,832,9,0.7251591595506595
Jupiter+Neptune,either,2,0.10004810004810005,0.203125,2.0302734375,0.034482758620689655,1664,832,169,0.7251591595506595
Mercury+Jupiter,either,2,0.09758297258297258,0.17067307692307693,1.7490046921655056,0.03648175912043978,1623,832,142,0.7251591595506595
Mars+Jupiter+Sun,either,3,0.1417147667147667,0.23918269230769232,1.6877753663392188,0.04047976011994003,2357,832,199,0.7251591595506595
Jupiter+Neptune+Moon,either,3,0.14526214526214526,0.24278846153846154,1.6713814951604686,0.04097951024487756,2416,832,202,0.7251591595506595
Mercury+Mars+Neptune,either,3,0.14405964405964405,0.23798076923076922,1.6519599974316168,0.03498250874562719,2396,832,198,0.7251591595506595
Mercury+Jupiter+Moon,either,3,0.14327801827801828,0.21754807692307693,1.5183632460699183,0.03548225887056472,2383,832,181,0.7251591595506595
Venus+Sun+Moon,all_overlap,3,0.0005411255411255411,0.003605769230769231,6.663461538461539,0.08895552223888056,9,832,3,0.8135932033983009
Venus+Sun,all_overlap,2,0.00456950456950457,0.020432692307692308,4.471533400809717,0.08495752123938032,76,832,17,0.8135932033983009
Venus+Sun,at_least_two,2,0.00456950456950457,0.020432692307692308,4.471533400809717,0.07646176911544228,76,832,17,0.8135932033983009
Venus+Neptune+Sun,at_least_two,3,0.008778258778258777,0.027644230769230768,3.1491701791359326,0.10494752623688156,146,832,23,0.8135932033983009
Venus+Jupiter+Moon,at_least_two,3,0.006072631072631072,0.018028846153846152,2.9688690022848436,0.07096451774112944,101,832,15,0.8135932033983009
Venus+Sun+Moon,at_least_two,3,0.008597883597883597,0.02403846153846154,2.7958579881656807,0.07496251874062969,143,832,20,0.8135932033983009
Venus+Neptune+Moon,at_least_two,3,0.007816257816257817,0.021634615384615384,2.7678994082840234,0.09495252373813093,130,832,18,0.8135932033983009
Neptune+Moon,all_overlap,2,0.0026455026455026454,0.007211538461538462,2.7259615384615388,0.10044977511244378,44,832,6,0.8135932033983009
Neptune+Moon,at_least_two,2,0.0026455026455026454,0.007211538461538462,2.7259615384615388,0.10144927536231885,44,832,6,0.8135932033983009
Mars+Neptune+Moon,at_least_two,3,0.00487012987012987,0.01201923076923077,2.467948717948718,0.06796601699150424,81,832,10,0.8135932033983009
Mercury+Venus+Sun,at_least_two,3,0.00992063492063492,0.02403846153846154,2.4230769230769234,0.1024487756121939,165,832,20,0.8135932033983009
Venus+Mars+Moon,at_least_two,3,0.005050505050505051,0.01201923076923077,2.379807692307692,0.08695652173913043,84,832,10,0.8135932033983009
Mars+Jupiter+Moon,at_least_two,3,0.007034632034632035,0.015625,2.2211538461538463,0.10194902548725637,117,832,13,0.8135932033983009
Venus+Neptune,either,2,0.09698172198172199,0.19110576923076922,1.970533883351614,0.05747126436781609,1613,832,159,0.8135932033983009
Mars+Neptune,either,2,0.09986772486772487,0.18509615384615385,1.8534131431482426,0.063968015992004,1661,832,154,0.8135932033983009
Mercury+Venus+Neptune,either,3,0.14105339105339104,0.24158653846153846,1.7127311626991935,0.05247376311844078,2346,832,201,0.8135932033983009
Mars+Jupiter+Saturn,either,3,0.13906926406926406,0.23317307692307693,1.6766686620772224,0.0944527736131934,2313,832,194,0.8135932033983009
