marker_date,marker_name,n_days,R_mean,R_min,R_max,polar_angular_velocity_mean,polar_angular_velocity_min,polar_angular_velocity_max,torque_sun_mean,torque_sun_min,torque_sun_max,torque_moon_mean,torque_moon_min,torque_moon_max,torque_mercury_mean,torque_mercury_min,torque_mercury_max,torque_venus_mean,torque_venus_min,torque_venus_max,torque_mars_mean,torque_mars_min,torque_mars_max,torque_jupiter_mean,torque_jupiter_min,torque_jupiter_max,torque_saturn_mean,torque_saturn_min,torque_saturn_max,torque_uranus_mean,torque_uranus_min,torque_uranus_max,torque_neptune_mean,torque_neptune_min,torque_neptune_max,torque_pluto_mean,torque_pluto_min,torque_pluto_max,torque_net_mean,torque_net_min,torque_net_max,angvel_sun_mean,angvel_sun_min,angvel_sun_max,angvel_moon_mean,angvel_moon_min,angvel_moon_max,angvel_venus_mean,angvel_venus_min,angvel_venus_max,angvel_mars_mean,angvel_mars_min,angvel_mars_max,sep_venus_mars_mean,sep_venus_mars_min,sep_venus_mars_max,sep_jupiter_saturn_mean,sep_jupiter_saturn_min,sep_jupiter_saturn_max,sep_sun_jupiter_mean,sep_sun_jupiter_min,sep_sun_jupiter_max,sep_sun_saturn_mean,sep_sun_saturn_min,sep_sun_saturn_max,sep_moon_sun_mean,sep_moon_sun_min,sep_moon_sun_max
1974-07-12,⭐ Loop 1974,541,0.25099378362410746,0.19122470356363477,0.3462547735815349,0.0010038801462007197,0.0001019803902718638,0.0017550344725959083,0.12051198062630367,0.10880103439405457,0.12863287178513372,3.494665130148188,2.606113868046699,5.016806210776519,2.4342639964095844e-08,2.4634514525775484e-09,8.915050518451626e-08,8.925800541578713e-07,7.31061290743765e-08,9.691924939578905e-06,1.250778507391846e-08,1.3888850190839507e-09,1.581991963941457e-07,1.1817882160053086e-07,4.935222197790055e-09,2.4100317550982524e-07,3.152998054633928e-09,3.067905447433415e-11,5.484871754800001e-09,2.832512038866487e-11,3.33206082562247e-13,4.511006027264131e-11,4.748257592683439e-12,1.8584829898502476e-13,7.591054990568675e-12,5.903269337252345e-16,2.2891917939161605e-16,9.031908250874275e-16,3.226162149935327,2.100857047257534,4.871411768982533,0.9926360386856339,0.9529788857765944,1.0193682266786892,13.180622507835235,11.80050482812627,15.329164416470388,1.0405887389765789,0.07800620923074747,1.256906135007806,0.5777309488061659,0.046597619863023736,0.7614846221539643,69.75209261359518,0.21952869811823916,148.54214798493678,122.05254065173169,97.60328101144808,152.01741097334468,73.15016183680393,0.0526206709129724,179.83050225829686,99.99238683556293,0.4053358604540449,179.73172825599153,89.08365667907597,0.09519787437932337,179.64969317566874
1974-10-18,🧭,541,0.2532154042859732,0.19122470356363477,0.3462547735815349,0.001072538528159897,0.0001019803902718638,0.0020366867702226437,0.11790233865635749,0.10880103439405457,0.12862054748672708,3.490451808434305,2.606113868046699,5.016806210776519,2.5943884237151322e-08,2.4634514525775484e-09,8.72016109624203e-08,6.161690149771292e-07,7.31061290743765e-08,9.691924939578905e-06,4.1890342204032035e-09,1.3888850190839507e-09,1.6287348779831485e-08,1.2075634993479466e-07,4.935222197790055e-09,2.4100317550982524e-07,3.159753009999098e-09,5.796672648488642e-11,5.4512751664960795e-09,2.6933984542084704e-11,3.33206082562247e-13,4.480035537540218e-11,4.504127539380484e-12,1.8584829898502476e-13,7.591054990568675e-12,5.733000296581551e-16,2.2891917939161605e-16,9.031908250874275e-16,3.110461945737792,2.100857047257534,3.8772432585734093,0.9839561736633446,0.9529788857765944,1.0193558354035175,13.179315402885399,11.80050482812627,15.329164416470388,1.089393221968548,0.07800620923074747,1.256906135007806,0.6643334549090599,0.4590186104067193,0.7616147602575003,70.26748748584279,0.21952869811823916,120.69485211124788,112.67697219834183,89.01340102299554,130.91545598484277,71.55099548655818,0.0526206709129724,179.83050225829686,80.53260164193152,0.4053358604540449,179.56789643416062,88.66913551618936,0.09519787437932337,179.64969317566874
1980-04-10,🧭,541,0.31614093434340623,0.18293199694421966,0.4228679936871553,0.0015815334371672273,0.0004231619075484147,0.003098912873896263,0.1186129179581734,0.1088082095377493,0.12865525949162693,3.480566972435004,2.6076542497378927,4.988278350802489,2.4142849809860147e-08,3.4375677375267577e-09,8.97754737001108e-08,7.422968366964729e-07,7.029552608014854e-08,8.103966886235766e-06,8.257936770347739e-09,2.08654559353762e-09,4.937640363078866e-08,8.671707693223061e-08,2.760381555282457e-09,1.7649999455286214e-07,2.8616291933850473e-09,1.507958140525161e-10,4.504052751719758e-09,2.765846491121216e-11,2.109528372401582e-13,4.260703814994124e-11,4.650185901887053e-12,1.557553030031134e-13,7.633987065096602e-12,6.970991825229848e-16,2.7482083141093866e-16,1.003518541546048e-15,3.0824957986580745,2.317778729380326,4.5959537794750975,0.9863211026186385,0.9530378176304601,1.0195784139706803,13.159902819744763,11.802874129050123,15.294256524187956,1.0323058137133574,0.07112539563497434,1.2510792556260757,0.5010921972288043,0.03285662199050531,0.7860418357851244,90.28915752640197,27.240404037421456,179.96553819736096,15.063136453891426,0.004406123014774721,26.915186706538975,70.71477071313853,0.28365718695243913,179.71686772325654,71.56957935422503,0.07600742987048648,179.90842253282221,88.57018199070463,0.7746680640513546,178.90185338321606
1981-02-17,🐧 Waltz I,541,0.28984082669274513,0.18204712876065912,0.3739204853922823,0.0011544803258469309,0.0004231619075484147,0.00222626705495995,0.11688289815210164,0.1088082095377493,0.12865525949162693,3.4896941736933025,2.6076542497378927,4.988278350802489,2.5351585767651856e-08,2.0415676242456445e-09,8.833529280611974e-08,6.550927016195454e-07,7.07113304900876e-08,8.103966886235766e-06,3.1217233920230342e-09,1.9062695578557365e-09,8.760267960296632e-09,8.439306877748176e-08,3.906471298003818e-09,1.6764408888713362e-07,2.671254096182177e-09,1.507958140525161e-10,4.272040143834956e-09,2.595414486274815e-11,5.166579224510623e-14,4.206953183663799e-11,4.538826442527479e-12,1.446130120925892e-13,7.633987065096602e-12,6.705189188095896e-16,2.7482083141093866e-16,1.0164538446244236e-15,2.941905683839734,1.9632924557506453,4.5959537794750975,0.9805483226790794,0.9530378176304601,1.0195784139706803,13.17772038342619,11.802874129050123,15.294256524187956,1.0759386115493998,0.07112539563497434,1.2523408314898048,0.6796396534628162,0.39234744602423827,0.7911605734731568,61.29221682930857,0.08719373030260158,115.0015085451821,5.109644129864137,0.004406123014774721,18.89712359062497,70.70807183251637,0.15357188937070987,179.7250162481334,73.5377570282079,0.07600742987048648,179.78273634904554,90.60716195148702,0.9414741244708011,179.97288956935427
1985-03-13,⚠️,541,0.3653018218432332,0.027736084799408874,0.5606156616167622,0.003664796550142168,0.002067447218189635,0.005578344288406725,0.1175990765689755,0.10879994520546447,0.12864174829605873,3.4795233514348136,2.611753468214365,4.985173973709368,2.4909214462741015e-08,2.8296408597852315e-09,9.030641131529017e-08,8.116229996127816e-07,6.900282208390165e-08,8.29252053186735e-06,7.630300818088011e-09,1.3427237546973358e-09,3.036754650259833e-08,1.0712811273797822e-07,1.8507608685239242e-09,2.215517187440909e-07,2.1953563235526596e-09,1.252336682176185e-10,3.6148558957239874e-09,2.4596300108731035e-11,1.1292013038100691e-13,3.990315665096877e-11,4.573742583614091e-12,1.1360767532081349e-13,7.664836620370096e-12,7.070830108660057e-16,2.768040230108279e-16,1.0557723992807148e-15,2.987685058186852,1.8048651042589152,4.686580343061149,0.9829387832320543,0.952966764364716,1.0193200437544014,13.159730876796587,11.817071379198111,15.290302462721,1.0329998802328115,0.12930272304394108,1.2582186337951555,0.6369315478638081,0.026701740886791465,0.7644863734922321,39.06805145838979,0.014311974199586075,136.74972226884015,66.25852391558124,50.34281821130102,84.14680112109261,93.81098085427581,0.05468730232468033,179.64812410668532,79.17984613369227,0.065129313851088,179.73800091194488,91.05009065300379,0.031161156901475806,179.98597406318177
1985-05-18,⚠️,541,0.32702562998305157,0.027736084799408874,0.5000662167353439,0.0034526390799601847,0.002067447218189635,0.005578344288406725,0.119849733044517,0.10879994520546447,0.12864174829605873,3.504738020392363,2.611753468214365,4.985173973709368,2.3907613390018925e-08,2.8296408597852315e-09,9.030641131529017e-08,8.116670586597125e-07,7.357149208164908e-08,8.29252053186735e-06,5.2234038103997964e-09,1.3427237546973358e-09,2.5330725908058857e-08,1.0458897959148315e-07,1.8507608685239242e-09,2.215517187440909e-07,2.3894362166230923e-09,1.252336682176185e-10,3.6148558957239874e-09,2.6467595477350753e-11,1.1292013038100691e-13,3.990315665096877e-11,4.7991873423644815e-12,1.1360767532081349e-13,7.667974304294024e-12,7.235788208179269e-16,2.730586967420261e-16,1.0557723992807148e-15,3.074181833992126,1.9443120650862435,4.686580343061149,0.9904349189659831,0.952966764364716,1.0194859556388418,13.198098796880997,11.81601956470275,15.290302462721,1.036369944958263,0.12930272304394108,1.2589341747081977,0.6737509939838658,0.5425727072955221,0.7644863734922321,33.960925255842184,0.014311974199586075,82.87069763555292,68.51867092929238,50.34281821130102,84.14680112109261,78.42250460819864,0.05468730232468033,179.47033027136786,71.86261778224033,0.065129313851088,179.73800091194488,89.84628293356762,0.031161156901475806,179.98597406318177
1986-02-27,⚠️,541,0.34120908771836855,0.11888529922576634,0.5000662167353439,0.0024742683864915184,0.0009466894950299149,0.0038499061027510795,0.11714597011105082,0.10879994520546447,0.1286415968593293,3.479478402192381,2.609538243717626,4.976572720091462,2.5162445097743228e-08,3.1894402703555725e-09,9.023054280531048e-08,7.348953726362375e-07,7.357149208164908e-08,9.62275417232767e-06,2.6902892584939124e-08,1.3427237546973358e-09,1.7125551397436854e-07,1.1695913721075239e-07,1.8507608685239242e-09,2.427967339275717e-07,2.1267591142116155e-09,9.337979387610577e-11,3.5244509279064563e-09,2.4189101874857116e-11,6.665525830992003e-14,3.938862667030862e-11,4.555735943188307e-12,1.21196889040726e-13,7.667974304294024e-12,6.989383218794192e-16,2.730586967420261e-16,1.0625515464820186e-15,3.087912455323424,1.8023060996790319,5.017537702325697,0.9814265338732316,0.952966764364716,1.0194859556388418,13.163950067118106,11.808841742893996,15.280551407853189,1.0763736648795623,0.02597258553041875,1.2589341747081977,0.4973341202698055,0.030484216796406595,0.6722617164303377,77.2444753062758,0.014311974199586075,179.93442662453106,87.99145643727272,70.21107985179904,109.44649495554143,98.74749538319968,0.32329314604641013,179.87366029055738,86.25687654740761,0.065129313851088,179.96984629173454,90.93476773670716,0.031161156901475806,179.93453623998505
1986-07-17,⚠️,541,0.2956483803367516,0.11888529922576634,0.4147710199061646,0.001997430423882862,0.000335846691214921,0.0033974296166366705,0.12048344811087777,0.10885700505667427,0.12866537637278844,3.4753771105635205,2.609538243717626,5.010995001023711,2.469450330228061e-08,3.1894402703555725e-09,9.023054280531048e-08,8.832665548863034e-07,7.357149208164908e-08,9.62275417232767e-06,2.8672064413714348e-08,1.6874648076120712e-09,1.7125551397436854e-07,1.1888857832582982e-07,5.282393032460532e-09,2.427967339275717e-07,2.1858056947761098e-09,5.961009742865299e-11,3.5244509279064563e-09,2.5457429160119242e-11,6.665525830992003e-14,3.938862667030862e-11,4.9173697623497455e-12,9.788272660743323e-14,7.68142799307337e-12,6.918050223615261e-16,2.677873201280033e-16,1.0625515464820186e-15,3.1905460037510904,1.7123947386841714,5.017537702325697,0.9925379763675458,0.9534376662565276,1.0196296071419426,13.15409603384915,11.804358931556443,15.322996237007573,1.03477620543275,0.02597258553041875,1.2589341747081977,0.5086702756540185,0.030484216796406595,0.6993968234354151,96.89484574718246,9.076993416353105,179.93442662453106,92.69102496138669,70.21107985179904,109.44649495554143,73.04477356660598,0.028604545141718063,179.87366029055738,76.15482263673162,0.065129313851088,179.96984629173454,91.2294784931172,0.4714398657301899,179.7434826031497
1986-08-14,⚠️,541,0.2867965520462593,0.11888529922576634,0.40073270489442214,0.0019182541976325602,0.000335846691214921,0.0033974296166366705,0.12004505372763354,0.10885700505667427,0.12866537637278844,3.4727236024293493,2.609538243717626,5.010995001023711,2.4832350355136185e-08,3.1894402703555725e-09,9.023054280531048e-08,8.855511011977716e-07,7.357149208164908e-08,9.62275417232767e-06,2.869117017560994e-08,1.970836553266935e-09,1.7125551397436854e-07,1.2126363179309233e-07,5.282393032460532e-09,2.427967339275717e-07,2.122067651570446e-09,5.961009742865299e-11,3.5244509279064563e-09,2.4574810542737437e-11,6.665525830992003e-14,3.938862667030862e-11,4.74748832994699e-12,9.788272660743323e-14,7.68142799307337e-12,6.834420949877884e-16,2.677873201280033e-16,1.0625515464820186e-15,3.1419265566570185,1.7123947386841714,5.017537702325697,0.9910815182761773,0.9534376662565276,1.0196296071419426,13.152495129472339,11.804358931556443,15.322996237007573,1.0326372864717046,0.02597258553041875,1.2589341747081977,0.5104473463308854,0.030484216796406595,0.6993968234354151,99.54635782818097,26.48998646658839,179.93442662453106,94.88624196852089,70.25498844623334,116.51311852542284,69.66625513392705,0.028604545141718063,179.87366029055738,82.25631260445846,0.065129313851088,179.96984629173454,90.60084190517186,0.4714398657301899,179.7434826031497
1987-03-18,⚠️,541,0.3080367640168926,0.19955888346550746,0.40073270489442214,0.0014094298323500925,0.000335846691214921,0.0028079323353670717,0.11775029873223639,0.10879830966513618,0.12866537637278844,3.4854115853771344,2.6082779196384416,5.010995001023711,2.4818820296659245e-08,3.254626029149131e-09,8.925284541455611e-08,8.815448109685623e-07,7.019896109464247e-08,9.62275417232767e-06,2.3225604884186885e-08,1.284867495855561e-09,1.7125551397436854e-07,1.2347944053782256e-07,5.282393032460532e-09,2.498310984701169e-07,2.0914417255309334e-09,5.961009742865299e-11,3.468402359024451e-09,2.391196505027059e-11,6.665525830992003e-14,3.8834944445779575e-11,4.585827840098116e-12,9.788272660743323e-14,7.68142799307337e-12,7.131079685858966e-16,2.677873201280033e-16,1.0663927255329726e-15,3.1102579130150567,1.3831082371169645,5.017537702325697,0.9834420103666897,0.9529809136081857,1.0196296071419426,13.171443629192074,11.804358931556443,15.322996237007573,1.0316685041698763,0.02597258553041875,1.2459943605116495,0.5778016271538311,0.030484216796406595,0.6993968234354151,72.60542386916231,0.23017738110013397,166.09607163731022,111.7444643582933,91.7448146047359,135.19685468616035,97.81145102535771,0.028604545141718063,179.87366029055738,84.38976605131461,0.3010835979993658,179.77103556486531,90.49742899060246,0.4714398657301899,178.85813906707386
