Longtitude,Latitude,Date,dLong,dLat
248.169,73.923,1590-01-01,0,0
248.165,74.059,1591-01-01,-0.0040000000000191,0.135999999999996
248.157,74.204,1592-01-01,-0.00799999999998136,0.144999999999996
248.158,74.345,1593-01-01,0.000999999999976353,0.141000000000005
248.171,74.477,1594-01-01,0.0130000000000052,0.132000000000005
248.192,74.604,1595-01-01,0.021000000000015,0.126999999999995
248.22,74.73,1596-01-01,0.0279999999999916,0.126000000000005
248.252,74.853,1597-01-01,0.0320000000000107,0.12299999999999
248.29,74.974,1598-01-01,0.0379999999999825,0.121000000000009
248.334,75.092,1599-01-01,0.0440000000000111,0.117999999999995
248.382,75.207,1600-01-01,0.0480000000000018,0.114999999999995
248.436,75.32,1601-01-01,0.054000000000002,0.113
248.492,75.43,1602-01-01,0.0559999999999832,0.110000000000014
248.552,75.538,1603-01-01,0.0600000000000023,0.10799999999999
248.614,75.644,1604-01-01,0.0620000000000118,0.106000000000009
248.677,75.747,1605-01-01,0.0629999999999882,0.102999999999994
248.742,75.849,1606-01-01,0.0649999999999977,0.102000000000004
248.806,75.947,1607-01-01,0.0640000000000214,0.097999999999999
248.87,76.044,1608-01-01,0.063999999999993,0.0969999999999942
248.932,76.138,1609-01-01,0.0619999999999834,0.0940000000000083
248.991,76.228,1610-01-01,0.0590000000000259,0.0899999999999892
249.045,76.315,1611-01-01,0.0539999999999736,0.0870000000000033
249.096,76.399,1612-01-01,0.0510000000000161,0.0840000000000032
249.14,76.48,1613-01-01,0.0439999999999827,0.0810000000000031
249.179,76.556,1614-01-01,0.0390000000000157,0.0759999999999934
249.211,76.627,1615-01-01,0.0320000000000107,0.070999999999998
249.238,76.693,1616-01-01,0.0269999999999868,0.0660000000000025
249.258,76.753,1617-01-01,0.0200000000000102,0.0600000000000023
249.273,76.808,1618-01-01,0.0149999999999864,0.0550000000000068
249.283,76.856,1619-01-01,0.00999999999999091,0.0479999999999876
249.289,76.898,1620-01-01,0.00600000000000023,0.0420000000000016
249.293,76.934,1621-01-01,0.0040000000000191,0.0360000000000014
