gx,gy,gz,energy
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
-0.0,0.0,1.0,0.0
