date,theta_unwrapped,theta_smooth,omega_raw,omega_smooth,omega_filtered
1975-01-03,128.33854734135366,128.33852679791278,-24.342404812417712,-24.337519574802144,-24.337519574802144
1975-01-04,128.2719014691773,128.27189430078806,-24.372213588212617,-24.368057030449563,-24.368057030449563
1975-01-05,128.20509237304037,128.2050945896694,-24.431805023945344,-24.42899373142791,-24.42899373142791
1975-01-06,128.13812019594556,128.1381284213552,-24.491337847575778,-24.48965401177702,-24.48965401177702
1975-01-07,128.07098511583257,128.07099655264392,-24.550799072228983,-24.550037871496897,-24.550037871496897
1975-01-08,128.00368734681632,128.00369974033399,-24.610175251604232,-24.61014531059118,-24.61014531059118
1975-01-09,127.93622714046444,127.93623874122385,-24.66945246555406,-24.669976329052588,-24.669976329052588
1975-01-10,127.86860478711445,127.86861431211193,-24.72861630524494,-24.7295309268884,-24.7295309268884
1975-01-11,127.80082061723243,127.80082720979667,-24.787651857797755,-24.78880910409498,-24.78880910409498
1975-01-12,127.7328750028144,127.73287819107651,-24.846543690502585,-24.847810860672325,-24.847810860672325
1975-01-13,127.66476835883132,127.66476801274986,-24.905275834546046,-24.906536196624074,-24.906536196624074
1975-01-14,127.5965011447197,127.59649743161519,-24.96383176821473,-24.96498511194295,-24.96498511194295
1975-01-15,127.52807386591844,127.52806720447091,-25.022194399651198,-25.023157606636232,-25.023157606636232
1975-01-16,127.45948707545396,127.45947808811547,-25.08034604898421,-25.08105368070028,-25.08105368070028
1975-01-17,127.39074137557493,127.3907308393473,-25.138268429971504,-25.138673334738996,-25.138673334738996
1975-01-18,127.32183741943768,127.32182621496153,-25.195942631158687,-25.196134076762974,-25.196134076762974
1975-01-19,127.25277591284444,127.25276432831778,-25.25334909625235,-25.253490069528198,-25.253490069528198
1975-01-20,127.18355761603588,127.18354563963214,-25.310467604125733,-25.310612962715823,-25.310612962715823
1975-01-21,127.11418334553916,127.11417096507225,-25.36727724809316,-25.367427125256654,-25.367427125256654
1975-01-22,127.04465397607372,127.04464117898735,-25.42375641453691,-25.423910947487457,-25.423910947487457
1975-01-23,126.97497044251637,126.97495721587315,-25.479882760981127,-25.480042090977804,-25.480042090977804
