phi,r,theta1,theta2,state
87.19304718060347,87.15284024995431,0.0,0.0,1
87.14768872271486,86.66195777305558,86.90482324788522,359.7571345251704,1
87.10412655414828,86.17159820106491,86.6378623776066,359.5337358234583,1
87.06238820354075,85.68177037399077,86.37207928876576,359.30969108522504,1
87.02250103202616,85.19248290816468,86.10749197009542,359.08499093806927,1
86.98449223333617,84.70374419829608,85.84411821581612,358.85962598247994,1
86.9483888341978,84.21556241987959,85.5819756270387,358.6335867928409,1
86.91421769502756,83.72794553195517,85.32108161349137,358.4068639184638,1
86.88200551092189,83.2409012802218,85.06145339557185,358.17944788464996,1
86.85177881294344,82.7544372005049,84.80310800672416,357.95132919378074,1
86.82356396970223,82.26856062257733,84.54606229613978,357.7224983264375,1
86.79738718923076,81.78327867433399,84.29033293178237,357.4929457425516,1
91.36709552815174,81.2985982863192,84.03593640373538,357.2626618825838,0
91.93371113809987,82.02874279152756,86.98122696481371,355.04751582671383,0
92.51602742541519,82.77132959491784,87.64367851016652,355.12765108475134,0
93.11433873478545,83.52645149171789,88.32039511325166,355.2060563784662,0
93.72894016067954,84.29418898308882,89.01156457188418,355.28262441120467,0
94.3601270341985,85.07460932408411,89.7173681791413,355.3572411449428,0
95.00819436258236,85.86776554031604,90.4379799514492,355.4297855888668,0
95.67343621863732,86.67369541557939,91.17356581710835,355.50012959847106,0
96.35614507730918,87.49242045320445,91.9242827652568,355.5681376879476,0
97.05661109660929,88.32394481448257,92.69027795554592,355.63366685893664,0
97.77512134010318,89.16825423812784,93.47168778911552,355.6965664490123,0
98.51195893820298,90.02531494540844,94.26863694180571,355.7566780036027,0
99.26740218556851,90.89507253629925,95.08123736093388,355.8138351753654,0
100.04172357202353,91.77745088277128,95.9095872273974,355.86786365537387,0
100.83518874453904,92.67235102614002,96.75376988533952,355.9185811408005,0
101.64805539803207,93.57965008623941,97.61385274213575,355.9657973441037,0
102.48057209298177,94.49920019106307,98.48988614202241,356.00931404904065,0
103.33297699818463,95.43082743641298,99.3819022172988,356.04892521911415,0
104.20549655736346,96.37433088600594,100.2899137216847,356.0844171643212,0
105.09834407882033,97.32948162339731,101.21391285110883,356.1155687722885,0
106.01171824789067,98.29602186797582,102.15387005793325,356.1421518100426,0
106.94580156262222,99.27366416814212,103.10973286538217,356.1639313027599,0
107.90075869387931,100.26209068558937,104.08142468973435,356.180665995855,0
108.87673477196611,101.26095258533127,105.06884367864869,356.19210890668256,0
109.87385360288226,102.26986954674558,106.07186157481392,356.19800797193164,0
110.89221581847502,103.28842941139179,107.0903226149334,356.1981067964584,0
111.93189696604033,104.31618798368712,108.12404247486373,356.1921455088234,0
112.99294554435251,105.3526690006541,109.1728072725033,356.1798617281508,0
114.07538099466873,106.3973642868499,110.23637264075933,356.16099164609057,0
115.17919165695568,107.44973411021715,111.31446288358642,356.1352712266307,0
116.3043327034133,108.50920775392377,112.40677022866853,356.10243752525525,0
117.45072406331039,109.5751843182508,113.51295419078059,356.06223012747023,0
118.61824835517842,110.64703376521125,114.63264106019483,356.0143927050164,0
119.80674884450629,111.72409821681357,115.76542353065993,355.95867468615364,0
121.0160274472047,112.80569351569852,116.9108604814516,355.8948330342469,0
122.24584280122143,113.89111105426508,118.06847692774326,355.82263412652185,0
123.49590843073472,114.97961987535717,119.23776415304594,355.74185572231124,0
124.76589102927271,116.07046904411553,120.41818003669411,355.6522890074214,0
126.05540888983109,117.16289028673123,121.60914958828116,355.55374069845004,0
127.36403051151441,118.25610088760689,122.81006569956065,355.44603518804627,0
128.69127341332543,119.34930683189229,124.02029012260886,355.32901670928345,0
130.03660318638563,120.4417061755864,125.23915468098602,355.20255149460036,0
131.39943281600134,121.5324926204777,126.46596271823952,355.0665299022382,0
132.77912230450903,122.62085926623715,127.69999078537309,354.92086848086404,0
134.17497862466078,123.7060025071086,128.9404905658847,354.7655119412239,0
135.58625603137938,124.78712603599676,130.18669103368808,354.6004350023087,0
137.01215675697028,125.8634449144829,131.4378008357266,354.4256440787563,0
138.4518321112913,126.93418966355631,132.6930108874238,354.24117877613253,0
139.90438400394652,127.9986103267907,133.9514971653686,354.0471131614221,0
141.3688669003102,129.0559804554651,135.21242367788764,353.8435567775774,0
142.84429021715687,130.10560096386448,136.47494559051069,353.6306553733538,0
144.32962115696648,131.14680380280842,137.73821247988747,353.408591322921,0
145.82378797271642,132.1789554004309,139.00137168657366,353.17758371385725,0
147.32568364732526,133.20145982142347,140.26357173437435,352.9378880870491,0
148.83416996407095,134.21376159936443,141.5239657817177,352.68979581764677,0
150.3480819364828,135.21534820135616,142.78171506891948,352.4336331324367,0
151.8662325586403,136.20575208990087,144.03599232427058,352.16975976563026,0
170.05921791658983,137.18455235363524,145.28598509168867,351.8985672619466,1
170.445220408686,137.19068577588362,153.81795309228482,343.3727326835988,1
170.82960705947994,137.19592524932932,154.01276615440463,343.1831590949247,1
171.2123391056297,137.2002234052019,154.2062812554158,342.9939421497861,1
171.593378936774,137.20353394337076,154.39845644007238,342.8050775032984,1
171.97269010408007,137.20581165012214,154.5892508771011,342.61656077302104,1
172.3502373271648,137.2070124140964,154.7786248706306,342.4283875434658,1
172.72598649942196,137.20709324040484,154.9665398699134,342.24055337049145,1
173.09990469179124,137.20601226295057,155.1529584773709,342.05305378557966,1
173.47196015500705,137.20372875498086,155.33784445499396,341.8658842999869,1
173.84212232036853,137.20020313790315,155.52116272913582,341.6790404087673,1
174.21036179907404,137.19539698839958,155.7028793937368,341.4925175946628,1
174.57665038016566,137.18927304387864,155.88296171202217,341.3063113318565,1
174.94096102713112,137.18179520630534,156.06137811671823,341.12041708958714,1
175.30326787321215,137.17292854445404,156.2380982088331,340.934830335621,1
175.66354621546998,137.16263929463025,156.41309275505012,340.74954653958014,1
176.0217725076594,137.15089485991066,156.58633368378503,340.5645611761256,1
176.3779243519642,137.1376638079514,156.75779407995782,340.3798697279936,1
176.73198048964738,137.12291586741753,156.92744817853247,340.19546768888506,1
177.08392079067005,137.10662192308703,157.09527135687853,340.0113505662085,1
177.4337262423333,137.08875400968466,157.261240126009,339.8275138836757,1
177.7813789369977,137.06928530450108,157.42533212074937,339.6439531837517,1
178.1268620589345,137.04819011885448,157.5875260888945,339.46066402995996,1
178.47015987036326,137.02544388845126,157.74780187940726,339.27764200904403,1
178.81125769672926,137.0010231627036,157.90614042971643,339.0948827329872,1
179.15014191127455,136.9749055930611,158.0625237521678,338.91238184089326,1
179.48679991895494,136.94706992041426,158.2169349196846,338.73013500072966,1
179.82122013975524,136.91749596162666,158.36935805069095,338.5481379109357,1
180.15339199145336,136.88616459525255,158.51977829335294,338.3663863018996,1
180.4833058718837,136.85305774649626,158.66818180918997,338.1848759373063,1
180.81095314074818,136.81815837146846,158.81455575610832,338.00360261536014,1
181.1363261010233,136.7814504407939,158.95888827090857,337.8225621698853,1
181.45941798000874,136.74291892262423,159.10116845131648,337.6417504713078,1
181.78022291006337,136.70254976510816,159.24138633758577,337.46116342752237,1
182.09873590907148,136.66032987837022,159.37953289372086,337.2807969846494,1
182.41495286068198,136.61624711604787,159.51559998836493,337.1006471276829,1
182.72887049436068,136.57029025643587,159.64958037539827,336.9207098810376,1
183.04048636529504,136.52244898328436,159.7814676742897,336.74098130899466,1
183.34979883418862,136.47271386629683,159.91125635024272,336.56145751605413,1
183.65680704698107,136.42107634137162,160.03894169417634,336.38213464719524,1
183.96151091452808,136.36752869062937,160.16451980257872,336.20300888805065,1
184.2639110922736,136.3120640222675,160.28798755727053,336.02407646499694,1
184.56400895994562,136.25467625028026,160.40934260511295,335.84533364516733,1
184.8618066013047,136.1953600740826,160.52858333769365,335.66677673638895,1
185.1573067839729,136.13411095807282,160.64570887102286,335.48840208704996,1
185.45051293936956,136.07092511116855,160.76071902526905,335.3102060858995,1
185.74142914277832,136.0057994663484,160.87361430456338,335.13218516178506,1
186.03006009356835,135.93873166022985,160.9843958768991,334.95433578333075,1
186.31641109559172,135.86972001271246,161.09306555415208,334.77665445856036,1
186.60048803777642,135.79876350671398,161.1996257722452,334.5991377344688,1
186.88229737493407,135.72586176802494,161.30407957147952,334.42178219654545,1
187.16184610879932,135.65101504530597,161.40643057705265,334.2445844682533,1
187.4391417693167,135.5742241902505,161.5066829797836,334.0675412104669,1
187.71419239618962,135.49549063793407,161.60484151706186,333.89064912087224,1
187.9870065207044,135.41481638736943,161.7009114540369,333.7139049333325,1
188.2575931478417,135.33220398228625,161.794898565064,333.5373054172223,1
188.52596173868574,135.24765649215152,161.88680911541863,333.36084737673286,1
188.79212219314104,135.16117749344647,161.97664984329376,333.18452765015275,1
189.05608483296527,135.07277105121386,162.06442794208957,333.0083431091243,1
189.31786038512558,134.9824417008884,162.15015104300699,332.8322906578814,1
189.57745996548476,134.89019443042193,162.23382719795336,332.6563672324686,1
189.8348950628229,134.79603466271385,162.31546486276838,332.48056979994544,1
190.09017752319903,134.6999682383556,162.39507288077732,332.3048953575783,1
190.34331953465613,134.6020013986978,162.47266046667698,332.12934093202085,1
190.594333612273,134.5021407692468,162.5482371907599,331.9539035784869,1
190.84323258356443,134.400393343397,162.62181296348072,331.7785803799163,1
191.0900295742314,134.29676646650407,162.69339802036774,331.6033684461363,1
191.3347379942619,134.19126782030298,162.76300290728244,331.42826491302054,1
191.57737152438216,134.08390540767493,162.83063846602855,331.2532669416464,1
191.8179441028581,133.97468753776513,162.8963158203116,331.07837171745354,1
192.05646991264538,133.86362281145372,162.96004636204955,330.90357644940417,1
192.29296336888675,133.75072010718077,163.02184173803374,330.728878369147,1
192.5274391067541,133.63598856712588,163.08171383693997,330.5542747301859,1
192.75991196963292,133.51943758374233,163.13967477668763,330.3797628070547,1
192.99039699764612,133.40107678664484,163.19573689214548,330.2053398944994,1
193.21890941651324,133.2809160298497,163.24991272318147,330.03100330666825,1
193.44546462674197,133.15896537936555,163.30221500305376,329.85675037631177,1
193.6700781931472,133.03523510113254,163.35265664713987,329.6825784539927,1
193.8927658346937,132.90973564930687,163.4012507420003,329.5084849073066,1
194.11354341465747,132.7824776548879,163.4480105347727,329.3344671201152,1
194.33242693110068,132.65347191468427,163.49294942289248,329.16052249179177,1
194.5494325076555,132.52272938061486,163.53608094413516,328.9866484364797,1
194.7645763846111,132.39026114934094,163.57741876697602,328.8128423823649,1
194.97787491029865,132.25607845222473,163.6169766812617,328.63910177096307,1
195.18934453276822,132.12019264560968,163.65476858918896,328.4654240564207,1
195.39900179175245,131.98261520141762,163.69080849658502,328.2918067048326,1
195.6068633109106,131.84335769805782,163.7251105044842,328.1182471935736,1
195.81294579034721,131.70243181164224,163.75768880099474,327.9447430106475,1
196.01726599939965,131.55984930750193,163.7885576534508,327.77129165405114,1
196.2198407696879,131.41562203199865,163.8177314008433,327.5978906311554,1
196.42068698842095,131.26976190462617,163.84522444652356,327.4245374581026,1
196.6198215919537,131.1222809103954,163.87105125117455,327.2512296592208,1
196.81726155958773,130.97319109249742,163.89522632604258,327.07796476645484,1
197.01302390761055,130.82250454523836,163.91776422642445,326.9047403188139,1
197.20712568356652,130.67023340724037,163.93867954540343,326.7315538618369,1
197.3995839607539,130.5163898549023,163.9579869078281,326.5584029470742,1
197.5904158329416,130.36098609611412,163.97570096452785,326.3852851315863,1
197.77963840929993,130.20403436421947,163.9918363867597,326.21219797745977,1
197.9672688095391,130.0455469122193,164.0064078608792,326.0391390513401,1
198.15332415924973,129.88553600721147,164.0194300832306,325.86610592398085,1
198.33782158543977,129.72401392505984,164.0309177552498,325.69309616981,1
198.52077821226146,129.56099294528676,164.04088557877412,325.52010736651266,1
198.70221115692337,129.3964853461834,164.0493482515534,325.34713709463,1
198.88213752578133,129.2305034001315,164.05632046295642,325.1741829371751,1
199.06057441060327,129.06305936913125,164.06181688986726,325.00124247926396,1
199.23753888500198,128.89416550052886,164.06585219276542,324.82831330776344,1
199.41304800103106,128.72383402293883,164.06844101198493,324.6553930109539,1
199.5871187859383,128.55207714235473,164.0695979641465,324.4824791782082,1
199.7597682390718,128.37890703844312,164.06933763875747,324.30956939968564,1
199.9310133289336,128.20433586101515,164.0676745949744,324.1366612660408,1
200.10087099037568,128.02837572667053,164.0646233585231,323.9637523681474,1
200.26935812193418,127.85103871560833,164.06019841877125,323.7908402968371,1
200.43649158329634,127.6723368685997,164.05441422594802,323.6179226426517,1
200.60228819289617,127.49228218411727,164.04728518850672,323.44499699561055,1
200.76676472563395,127.31088661561611,164.03882567062504,323.2720609449911,1
200.92993791071552,127.12816206896163,164.02904998983857,323.0991120791231,1
201.09182442960685,126.94412039999938,164.01797241480313,322.9261479851963,1
201.2524409140997,126.75877341226216,164.00560716318094,322.75316624908123,1
201.41180394448463,126.57213285480985,163.99196839964725,322.5801644551626,1
201.56993004782692,126.38421042019748,163.9770702340122,322.4071401861853,1
201.726835696342,126.19501774256709,163.96092671945453,322.23409102311257,1
201.88253730586644,126.0045663958592,163.94355185086283,322.0610145449964,1
202.03705123442086,125.81286789213972,163.92495956328028,321.88790832885945,1
202.1903937808613,125.61993368003814,163.90516373044971,321.7147699495884,1
202.34258118361564,125.4257751432932,163.8841781634544,321.5415969798388,1
202.49362961950155,125.23040359940198,163.86201660945176,321.36838698995024,1
202.64355520262302,125.03383029836895,163.838692750496,321.19513754787295,1
202.79237398334226,124.83606642155107,163.81422020244668,321.0218462191044,1
202.94010194732368,124.63712308059549,163.78861251395958,320.8485105666359,1
203.08675501464745,124.43701131646652,163.76188316555698,320.67512815090953,1
203.23234903898938,124.23574209855835,163.73404556877387,320.50169652978445,1
203.3768998068648,124.03332632389038,163.7051130653776,320.3282132585128,1
203.52042303693318,123.82977481638204,163.6750989266576,320.15467588972444,1
