theta1,theta2,state
87.17294371527889,-0.0201034653245766,1
87.0849127650814,359.8794418614281,1
60.21063887196773,359.77842031391185,0
60.23781249403484,359.3920105295068,0
60.265127282421226,359.0123233242126,0
58.45831108481358,358.63925880102914,1
58.492039852033265,358.6221807923974,1
58.525626173470506,358.60484196522043,1
58.559070952186,358.5872401114277,1
29.19126576984843,358.5693729992169,0
28.64627199949324,358.2803485346159,0
28.090618288412966,357.9976119015378,0
27.5241783439108,357.72108787203274,0
26.946827532630692,357.4507023060622,0
26.358443119569753,357.1863821748182,0
25.75890451948182,356.9280555816148,0
25.14809356087327,356.6756517804435,0
24.525894762757037,356.42910119227633,0
21.349502618051698,356.1883354191974,1
21.562781942506135,356.2177352493965,1
21.77501349724377,356.2471941357399,1
21.98620133666458,356.2767116375067,1
22.196349524928614,356.3062873388888,1
22.405462135299604,356.3359208488037,1
22.613543249501724,356.36561180071095,1
22.820596957089307,356.3953598524319,1
357.8688456131639,356.42516468597273,0
356.87580377831944,356.29388563613105,0
352.180892258433,356.1682688224027,1
335.617350581316,356.1958454350914,0
334.47393277041823,356.1679213558917,0
333.3269560825069,356.14526269527005,0
332.17689135849855,356.1278342659088,0
326.1470538568955,356.1156010705916,1
318.41540408897083,356.09841906726996,0
311.7782722628073,356.1453306023166,1
308.905518169731,356.08922617639575,0
301.9266358476482,356.1732480829165,1
302.17948144886196,356.0860122956872,0
295.00270427519916,356.19379766288154,1
297.2941927312728,356.0830808067348,0
289.9977581213478,356.20661481818667,1
293.6621669511439,356.0783293240342,0
286.29019574338577,356.21265586467473,1
290.9100001842407,356.0711315394603,0
283.4884318529413,356.2130694685885,1
288.7925214904219,356.06146028432744,0
281.3372146124982,356.2088929797328,1
287.1433788964416,356.04951825052336,0
279.6643710796292,356.20099152741767,1
285.8463024481461,356.0355798310076,0
278.35014191632723,356.190066563319,1
284.8179142600738,356.0199237562043,0
277.30898645290387,356.17668112343034,1
283.99710713928164,356.0028059317895,0
276.47841675404464,356.1612858741851,1
283.3382688600453,355.9844503455497,0
275.8119157669227,356.14424162422176,1
282.80682868272817,355.965048027533,0
275.2743058836188,356.1258376612247,1
282.376249164004,355.94475942083363,0
274.83863413553297,356.1063063560098,1
282.0259433957118,355.9237179887025,0
274.4840238050196,356.0858347043079,1
281.7398006357476,355.9020340495897,0
274.19415866285505,356.06457343760115,1
281.5051217584754,355.87979839284407,0
273.9561917273784,356.0426442276647,1
281.3118370136648,355.85708549977807,0
273.7599454619371,356.0201454006889,1
281.1519222905625,355.8339563254182,0
273.59731626823185,355.99715648455754,1
281.0189576024791,355.8104606567029,0
273.46182494502466,355.9737418395689,1
280.9077892158056,355.7866390883147,0
273.3482732568333,355.94995356625645,1
280.8142684787791,355.7625246654206,0
273.25247885299797,355.9258338406438,1
280.73504819415854,355.7381442423418,0
273.1710688531684,355.901416794181,1
280.6674226920788,355.7135196021969,0
273.10131790771754,355.87673003027305,1
280.6092014458983,355.68866837719884,0
273.0410203434118,355.85179584981387,1
280.5586086749441,355.66360480369934,0
272.98838868058107,355.82663224304815,1
280.5142032422815,355.638340340826,0
272.94197272151604,355.80125369333473,1
280.4748145115985,355.6128841768563,0
272.90059479866875,355.7756718291798,1
280.4394908272572,355.5872436434034,0
272.86329779342856,355.7498959536615,1
280.40745802844066,355.56142455401715,0
272.82930329835415,355.7239334746288,1
280.37808597270003,355.5354314808877,0
272.7979778706774,355.6977902544982,1
280.3508614751811,355.5092679809021,0
272.768805763283,355.6714708948302,1
280.3253664020172,355.482936780288,0
272.74136685683595,355.6449789679543,1
280.3012599145779,355.4564399254104,0
272.7153187787121,355.61831720557063,1
280.27826406340574,355.42977890591413,0
272.6903823992747,355.5914876523719,1
280.2561520899196,355.40295475527773,0
272.66633005729693,355.56449179120966,1
280.23473892009497,355.3759681329193,0
272.64297599395553,355.53733064510254,1
280.2138734346914,355.34881939123846,0
272.6201685762949,355.5100048603882,1
280.1934321807658,355.32150863035696,0
272.5977839720675,355.48251477451805,1
280.17331425345606,355.2940357428158,0
272.57572100274274,355.4548604713392,1
280.15343712864984,355.2664004500713,0
272.5538969535938,355.4270418261795,1
280.13373326874415,355.23860233229396,0
272.5322441617355,355.3990585426197,1
280.1141473572616,355.2106408527,0
272.5107072368397,355.3709101824884,1
280.094634045225,355.18251537741645,0
272.4892407966127,355.3425961903299,1
280.07515611415124,355.1542251916994,0
272.4678076212543,355.3141159133633,1
280.05568297832497,355.1257695131737,0
272.4463771490567,355.28546861776357,1
280.0361894634495,355.09714750263873,0
272.4249242498415,355.25665350194174,1
280.0166548104915,355.0683582728874,0
272.4034282247417,355.22766970737547,1
279.9970618630587,355.03940089589963,0
272.3818719904179,355.19851632744025,1
279.9773964043858,355.01027440870985,0
272.36024141359513,355.169192414609,1
279.9576466163008,354.9809778181894,0
272.33852476813456,355.13969698631865,1
279.93780263766183,354.9515101049423,0
272.31671229201316,355.11002902974866,1
279.91785620392193,354.9218702264767,0
272.29479582577216,355.0801875057105,1
279.8978003528725,354.8920571197832,0
272.27276851741175,355.05017135181106,1
279.87762918437875,354.8620697034292,0
272.2506245814857,355.0199794850227,1
279.8573376641709,354.8319068792564,0
272.228359102414,354.98961080376847,1
279.8369214635885,354.80156753375417,0
272.20596787387495,354.9590641896109,1
279.81637682866807,354.7710505391675,0
272.1834472676386,354.9283385086168,1
279.7957004731859,354.74035475438797,0
272.1607941264304,354.8974326124569,1
279.77488949125507,354.70947902566644,0
272.13800567640874,354.86634533928907,1
279.7539412858909,354.67842218718033,0
272.1150794556547,354.83507551446337,1
279.7328535106145,354.6471830614813,0
272.0920132557354,354.8036219510826,1
279.71162402170535,354.6157604598454,0
272.0688050739425,354.7719834504436,1
279.6902508391523,354.58415318254214,0
272.0454530742492,354.7401588023809,1
279.66873211470937,354.5523600190388,0
272.0219555553878,354.7081467855308,1
279.64706610575655,354.5203797481494,0
271.9983109247436,354.67594616752956,1
279.62525115390423,354.4882111381399,0
271.9745176770015,354.6435557051579,1
279.6032856674735,354.4558529467961,0
271.95057437667464,354.6109741444412,1
279.5811681071437,354.42330392146215,0
271.92647964380666,354.5782002207133,1
279.5588969741899,354.3905627990534,0
271.902232142266,354.54523265865026,1
279.5364708008365,354.35762830604847,0
271.8778305701605,354.5120701722792,1
279.5138881423411,354.3244991584649,0
271.85327365198424,354.47871146496675,1
279.49114757049324,354.2911740618199,0
271.8285601321812,354.4451552293906,1
279.46824766827007,354.25765171107946,0
271.80368876986677,354.4114001474966,1
279.4451870254378,354.2239307905973,0
271.7786583344968,354.3774448904441,1
279.4219642349267,354.19000997404584,0
271.7534676023113,354.34328811854203,1
279.39857788983915,354.1558879243395,0
271.72811535341185,354.3089284811755,1
279.37502658097515,354.12156329355236,0
271.7026003693578,354.2743646167262,1
279.3513088947809,354.08703472283054,0
271.676921431186,354.23959515248646,1
279.3274234116442,354.05230084229987,0
271.65107731777846,354.2046187045683,1
279.30336870447235,354.0173602709699,0
271.625066804514,354.1694338778077,1
279.2791433375026,353.9822116166344,0
271.59888866215243,354.13403926566525,1
279.2547458653015,353.9468534757686,0
271.57254165590933,354.098433450123,1
