date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-01-02,-640.2832500000001,-478.4775000000008,627.891273908367,-494.62703766225854,582.3923711950591,-547.4691627942251,-263.25764885722845,-754.7176747333917,799.3143050370194,216.7704077247491
1973-01-03,-640.2832500000001,-478.1122500000043,627.5384695003182,-494.7215713184814,582.0326701632748,-547.5325877911173,-263.46189406521916,-754.4148687600189,799.0957163135272,216.74942950553037
1973-01-04,-640.4658750000009,-477.0165000000042,626.527323104274,-495.1815744911794,580.9852795663583,-547.9027132976905,-264.2260326758859,-753.6085734438884,798.5870511796262,216.67859795857646
1973-01-05,-641.013750000001,-475.1902499999955,624.9051015483408,-496.18344938437826,579.2819119027504,-548.759389829838,-265.70146767591785,-752.4009113889916,797.9375924119141,216.54993003461087
1973-01-06,-642.1095000000009,-472.2682499999971,622.3662672525967,-497.99813185832363,576.5945786391288,-550.3458929003435,-268.24384725998556,-750.5911992259652,797.0833770367508,216.3342914433984
1973-01-07,-644.3010000000011,-468.2505000000039,619.0526207013726,-501.1548285250951,573.0184172708279,-553.20177405689,-272.3073803881559,-748.485804766794,796.4812046440613,216.00805586071334
1973-01-08,-647.7708749999995,-463.5022499999994,615.3642331308158,-505.73540793249765,568.9448413280649,-557.4434588184795,-277.8392248391316,-746.4896565888355,796.5183251208517,215.58501830639952
1973-01-09,-652.5191249999988,-457.84087499999833,611.1247023369153,-511.7871369086416,564.1940002949613,-563.1026596835583,-284.9415032169026,-744.4513517054154,797.1194862199319,215.0554682664554
1973-01-10,-658.545749999999,-450.9011250000015,605.98122391162,-519.4045491097505,558.4061931397299,-570.2428016490193,-293.8184607294618,-742.0680841431586,798.1192450814152,214.39913750650422
1973-01-11,-666.033375000001,-442.68299999999863,599.9810646830316,-528.764046739854,551.6131323608073,-579.0437352307588,-304.62150036350295,-739.4419765060536,799.7303890080024,213.61023306315536
1973-01-12,-674.2515000000013,-433.0038749999991,592.7587551346851,-539.207287810954,543.5081174485226,-588.8177708636429,-316.84713277626327,-736.0131353914329,801.3160681137416,212.70855043491457
