date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-01-02,-52.92021197071216,36.58569075695088,-21.64230484588141,-60.586073021332936,-26.840373536290468,-58.469273568437174,-64.3313027111597,0.7383052712020906,64.33553919248946,145.34246755201718
1973-01-03,-52.91154497160349,36.594444824470116,-21.653003810216525,-60.579967062453534,-26.85049961845486,-58.462258368391495,-64.32901265569056,0.7504092464841783,64.3333893347242,145.33166496885224
1973-01-04,-52.89407730009426,36.61186686387573,-21.67435317408522,-60.567603743020335,-26.870690207260463,-58.44808137545616,-64.32427358050397,0.7746205696900859,64.32893756845755,145.31005292975414
1973-01-05,-52.876342392102465,36.62911662736876,-21.695605298091927,-60.55493770467971,-26.890757542539887,-58.43361129056263,-64.31921662076482,0.798838506436212,64.32417717832257,145.2884284954377
1973-01-06,-52.858340469571914,36.64619394674536,-21.716759962320943,-60.54196911827856,-26.910701420104562,-58.418848303074604,-64.31384186641446,0.8230627931658532,64.31910826480464,145.26679158457762
1973-01-07,-52.84007175793187,36.663098655950606,-21.737816948030122,-60.52869815858665,-26.93052163727692,-58.403792606161424,-64.3081494114855,0.8472931661547847,64.313730932355,145.24514211578742
1973-01-08,-52.82153648608919,36.67983059107842,-21.758776037652915,-60.515125004289004,-26.95021799289173,-58.38844439679035,-64.3021393540952,0.8715293615156234,64.308045289384,145.22348000761804
1973-01-09,-52.80273488642324,36.696389590402745,-21.779637014829724,-60.5012498379891,-26.969790287327665,-58.372803875726945,-64.29581179645874,0.8957711152264984,64.30205144827431,145.2018051785359
1973-01-10,-52.78366719478581,36.71277549437753,-21.800399664407966,-60.48707284620869,-26.989238322507305,-58.356871247535004,-64.28916684488907,0.9200181631310969,64.29574952538056,145.18011754692532
1973-01-11,-52.76433365050114,36.72898814564196,-21.821063772447104,-60.472594219389265,-27.00856190190227,-58.34064672057748,-64.28220460979993,0.9442702409429593,64.28913964103202,145.15841703108828
1973-01-12,-52.74473449636336,36.74502738903077,-21.841629126229243,-60.457814151892215,-27.027760830543855,-58.32413050701573,-64.27492520570948,0.9685270842555163,64.28222191953607,145.13670354923806
1973-01-13,-52.72486997862085,36.76089307155874,-21.86209551424826,-60.44273284197974,-27.04683491501045,-58.307322822791484,-64.26732875121861,0.9927884285379172,64.27499648915627,145.1149770195061
1973-01-14,-52.70474034697112,36.77658504244661,-21.882462726236074,-60.427350491816554,-27.06578396345396,-58.29022388762623,-64.25941536902127,1.0170540091594091,64.26746348212254,145.09323735992308
1973-01-15,-52.68434585456075,36.792103153126284,-21.902730553167785,-60.41166730747123,-27.0846077856049,-58.27283392502211,-64.25118518590722,1.041323561393689,64.25962303463395,145.07148448841815
1973-01-16,-52.66368675798803,36.80744725720966,-21.92289878723082,-60.39568349891066,-27.10330619274133,-58.25515316225908,-64.24263833274694,1.0655968203915869,64.25147528684268,145.04971832284627
1973-01-17,-52.642763317292555,36.8226172105354,-21.942967221872813,-60.37939928000208,-27.121878997736644,-58.23718183039279,-64.233774944509,1.0898735212256305,64.24302038287195,145.02793878095156
1973-01-18,-52.62157579595004,36.83761287117406,-21.962935651807918,-60.362814868509474,-27.140326015065547,-58.21892016425038,-64.22459516025873,1.114153398897237,64.2342584708145,145.00614578036414
1973-01-19,-52.60012446086972,36.85243409940736,-21.98280387299745,-60.34593048608561,-27.158647060784084,-58.200368402424324,-64.21509912314447,1.138436188320945,64.22518970271825,144.98433923861683
1973-01-20,-52.578409582378804,36.867080757748965,-22.00257168267398,-60.32874635826242,-27.176841952552827,-58.18152678726068,-64.20528698039621,1.162721624350361,64.2158142345853,144.9625190731249
1973-01-21,-52.55643143422502,36.88155271095481,-22.022238879350635,-60.31126271445617,-27.194910509646565,-58.16239556486346,-64.1951588833336,1.187009441785289,64.20613222637955,144.94068520118333
1973-01-22,-52.534190293581865,36.89584982600239,-22.04180526279977,-60.29347978796716,-27.21285255293305,-58.14297498509615,-64.18471498735866,1.2112993753516221,64.19614384201898,144.91883753998718
