start_idx,peak,sign,end_idx,duration,start_date,end_date
203,104.8379556695072,1.0,226,23,1975-07-25,1975-08-17
1139,-104.84980820500276,-1.0,1168,29,1978-02-15,1978-03-16
2491,123.73368914494858,1.0,2559,68,1981-10-29,1982-01-05
3475,-139.6648256543849,-1.0,3527,52,1984-07-09,1984-08-30
5571,-127.56295327832048,-1.0,5627,56,1990-04-05,1990-05-31
6344,125.63353308382648,1.0,6507,163,1992-05-17,1992-10-27
6872,-153.8540207352271,-1.0,7023,151,1993-10-27,1994-03-27
8391,102.4021130287947,1.0,8415,24,1997-12-24,1998-01-17
8907,-114.76577889013606,-1.0,8954,47,1999-05-24,1999-07-10
9361,126.48969831949944,1.0,9464,103,2000-08-20,2000-12-01
10702,-153.6873641139846,-1.0,10821,119,2004-04-22,2004-08-19
12068,99.84407337515768,1.0,12091,23,2008-01-18,2008-02-10
12993,-152.8396801805211,-1.0,13118,125,2010-07-31,2010-12-03
14571,126.80983179410032,1.0,14654,83,2014-11-25,2015-02-16
14744,-141.02367590950416,-1.0,14831,87,2015-05-17,2015-08-12
15342,-153.32072989968947,-1.0,15450,108,2017-01-04,2017-04-22
16274,107.21981019509984,1.0,16304,30,2019-07-25,2019-08-24
16764,-152.53947217356472,-1.0,16938,174,2020-11-26,2021-05-19
17768,-151.8436523880082,-1.0,17940,172,2023-08-27,2024-02-15
