bin,phi_center_rad,phi_center_deg,n,escape_rate,composite
0,-3.0543261909900767,-175.0,461,0.13232104121475055,Venus_Mars
1,-2.879793265790644,-165.00000000000003,459,0.1328976034858388,Venus_Mars
2,-2.705260340591211,-155.0,461,0.13665943600867678,Venus_Mars
3,-2.5307274153917776,-145.0,451,0.1419068736141907,Venus_Mars
4,-2.356194490192345,-135.0,462,0.1471861471861472,Venus_Mars
5,-2.181661564992912,-125.00000000000001,451,0.13303769401330376,Venus_Mars
6,-2.0071286397934793,-115.00000000000003,475,0.1368421052631579,Venus_Mars
7,-1.8325957145940461,-105.00000000000001,465,0.14838709677419354,Venus_Mars
8,-1.658062789394613,-95.0,473,0.15010570824524314,Venus_Mars
9,-1.4835298641951802,-85.0,485,0.15670103092783505,Venus_Mars
10,-1.308996938995747,-74.99999999999999,489,0.147239263803681,Venus_Mars
11,-1.1344640137963142,-65.0,458,0.17248908296943233,Venus_Mars
12,-0.9599310885968813,-55.0,466,0.16523605150214593,Venus_Mars
13,-0.7853981633974483,-45.0,482,0.16182572614107885,Venus_Mars
14,-0.6108652381980153,-35.0,480,0.18333333333333332,Venus_Mars
15,-0.43633231299858233,-24.999999999999996,487,0.19507186858316222,Venus_Mars
16,-0.2617993877991496,-15.000000000000009,476,0.20588235294117646,Venus_Mars
17,-0.0872664625997166,-5.000000000000007,494,0.20445344129554655,Venus_Mars
18,0.08726646259971638,4.999999999999995,470,0.2,Venus_Mars
19,0.26179938779914935,14.999999999999996,463,0.2159827213822894,Venus_Mars
20,0.43633231299858233,24.999999999999996,437,0.20137299771167047,Venus_Mars
21,0.6108652381980153,35.0,455,0.1956043956043956,Venus_Mars
22,0.7853981633974483,45.0,467,0.2012847965738758,Venus_Mars
23,0.959931088596881,54.999999999999986,471,0.1762208067940552,Venus_Mars
24,1.1344640137963138,64.99999999999997,462,0.170995670995671,Venus_Mars
25,1.308996938995747,74.99999999999999,444,0.16441441441441443,Venus_Mars
26,1.4835298641951802,85.0,446,0.15246636771300448,Venus_Mars
27,1.658062789394613,95.0,441,0.17913832199546487,Venus_Mars
28,1.8325957145940457,104.99999999999999,438,0.182648401826484,Venus_Mars
29,2.007128639793479,115.0,462,0.14502164502164502,Venus_Mars
30,2.181661564992912,125.00000000000001,458,0.14410480349344978,Venus_Mars
31,2.356194490192345,135.0,450,0.15333333333333332,Venus_Mars
32,2.5307274153917776,145.0,461,0.15835140997830802,Venus_Mars
33,2.7052603405912103,154.99999999999997,453,0.12582781456953643,Venus_Mars
34,2.8797932657906435,165.0,442,0.12217194570135746,Venus_Mars
35,3.0543261909900767,175.0,437,0.12128146453089245,Venus_Mars
0,-3.0543261909900767,-175.0,421,0.14251781472684086,Venus_Mars_Jupiter
1,-2.879793265790644,-165.00000000000003,449,0.1447661469933185,Venus_Mars_Jupiter
2,-2.705260340591211,-155.0,416,0.14903846153846154,Venus_Mars_Jupiter
3,-2.5307274153917776,-145.0,482,0.16182572614107885,Venus_Mars_Jupiter
4,-2.356194490192345,-135.0,464,0.14439655172413793,Venus_Mars_Jupiter
