window_start,window_end,n_high_R,n_background,high_R_plv,background_plv,contrast,name
1991-01-01,1999-01-01,15,2907,0.9877358454135117,0.015331470105242218,0.9724043753082694,Venus_Mars
1992-01-01,2000-01-01,15,2907,0.9877358454135117,0.015331470105242218,0.9724043753082694,Venus_Mars
1993-01-01,2001-01-01,15,2907,0.9877358454135117,0.015331470105242218,0.9724043753082694,Venus_Mars
1994-01-01,2002-01-01,15,2907,0.9877358454135117,0.015331470105242218,0.9724043753082694,Venus_Mars
1995-01-01,2003-01-01,15,2907,0.9877358454135117,0.015331470105242218,0.9724043753082694,Venus_Mars
1996-01-01,2004-01-01,40,2882,0.828199579751823,0.014328780593239526,0.8138707991585835,Venus_Mars
1997-01-01,2005-01-01,40,2882,0.828199579751823,0.014328780593239526,0.8138707991585835,Venus_Mars
1998-01-01,2006-01-01,40,2882,0.828199579751823,0.014328780593239526,0.8138707991585835,Venus_Mars
1999-01-01,2007-01-01,25,2897,0.7345230937911951,0.015173507601453962,0.7193495861897411,Venus_Mars
2000-01-01,2008-01-01,25,2897,0.7345230937911951,0.015173507601453962,0.7193495861897411,Venus_Mars
2001-01-01,2009-01-01,61,2861,0.40084190219637034,0.01606132315387373,0.38478057904249663,Venus_Mars
2002-01-01,2010-01-01,97,2825,0.5721481013885906,0.014999243190229014,0.5571488581983616,Venus_Mars
2003-01-01,2011-01-01,123,2799,0.5620107384909979,0.01349820480033498,0.5485125336906629,Venus_Mars
2004-01-01,2012-01-01,193,2729,0.2886627618211849,0.013056867460216266,0.2756058943609686,Venus_Mars
2005-01-01,2013-01-01,193,2729,0.2886627618211849,0.013056867460216266,0.2756058943609686,Venus_Mars
2006-01-01,2014-01-01,193,2729,0.2886627618211849,0.013056867460216266,0.2756058943609686,Venus_Mars
2007-01-01,2015-01-01,241,2681,0.07192537090767892,0.015382744806345454,0.05654262610133347,Venus_Mars
2008-01-01,2016-01-01,298,2624,0.1701475612648337,0.01337191103528144,0.15677565022955228,Venus_Mars
2009-01-01,2017-01-01,358,2564,0.33907019266419147,0.009303734092866042,0.3297664585713254,Venus_Mars
2010-01-01,2018-01-01,377,2545,0.39424851177809933,0.009329305494435879,0.38491920628366344,Venus_Mars
2011-01-01,2019-01-01,422,2500,0.15487811874381413,0.013586646775503928,0.1412914719683102,Venus_Mars
2012-01-01,2020-01-01,349,2573,0.1574730598826706,0.013386139710770352,0.14408692017190025,Venus_Mars
2013-01-01,2021-01-01,402,2520,0.20246698831797127,0.012572085499262918,0.18989490281870836,Venus_Mars
2014-01-01,2022-01-01,411,2511,0.21616108195947972,0.012474412620129506,0.20368666933935023,Venus_Mars
2015-01-01,2023-01-01,441,2481,0.3405738466384146,0.009918915914102731,0.3306549307243119,Venus_Mars
2016-01-01,2024-01-01,423,2499,0.30222196054817535,0.01315500619336705,0.2890669543548083,Venus_Mars
2017-01-01,2025-01-01,372,2550,0.31738752627384803,0.01402715696233832,0.3033603693115097,Venus_Mars
2018-01-01,2026-01-01,340,2582,0.2953365641753246,0.016174564491412864,0.27916199968391175,Venus_Mars
2019-01-01,2027-01-01,269,2408,0.40022249003232746,0.012400236167492707,0.38782225386483477,Venus_Mars
2020-01-01,2028-01-01,247,2065,0.3987961911706454,0.013674346118803667,0.3851218450518417,Venus_Mars
2021-01-01,2029-01-01,194,1752,0.3532624957019822,0.014224585030146304,0.3390379106718359,Venus_Mars
2022-01-01,2030-01-01,185,1396,0.3240198816119433,0.014327488942763792,0.3096923926691795,Venus_Mars
2023-01-01,2031-01-01,107,1109,0.22119311777597425,0.015068817493419193,0.20612430028255507,Venus_Mars
2024-01-01,2032-01-01,68,783,0.5515303632514517,0.014171531642762388,0.5373588316086892,Venus_Mars
2025-01-01,2033-01-01,23,462,0.9463826793110928,0.01649724378107697,0.9298854355300158,Venus_Mars
1991-01-01,1999-01-01,15,2907,0.9452382962043956,0.03322077973896953,0.9120175164654261,Mercury_Venus_Mars
1992-01-01,2000-01-01,15,2907,0.9452382962043956,0.03322077973896953,0.9120175164654261,Mercury_Venus_Mars
1993-01-01,2001-01-01,15,2907,0.9452382962043956,0.03322077973896953,0.9120175164654261,Mercury_Venus_Mars
1994-01-01,2002-01-01,15,2907,0.9452382962043956,0.03322077973896953,0.9120175164654261,Mercury_Venus_Mars
1995-01-01,2003-01-01,15,2907,0.9452382962043956,0.03322077973896953,0.9120175164654261,Mercury_Venus_Mars
1996-01-01,2004-01-01,40,2882,0.7257206020674919,0.03219913931910046,0.6935214627483914,Mercury_Venus_Mars
