body,theta_sector_deg,n_sector,n_high_R_sector,event_prob_sector,event_prob_high_R_sector,enrichment_high_R_sector,n_joint_high_R_event_sector
Mercury,-180 to -150,1418,159,0.07263751763046544,0.1320754716981132,2.6402394775036284,21
Mercury,-150 to -120,1392,76,0.040948275862068964,0.09210526315789473,1.84121963562753,7
Mercury,-120 to -90,1306,9,0.06049004594180704,0.0,0.0,0
Mercury,-90 to -60,1284,0,0.04672897196261682,,,0
Mercury,-60 to -30,1354,23,0.07090103397341212,0.043478260869565216,0.8691471571906354,1
Mercury,-30 to 0,1426,107,0.02664796633941094,0.0,0.0,0
Mercury,0 to 30,1438,180,0.0458970792767733,0.06666666666666667,1.3326923076923076,12
Mercury,30 to 60,1370,154,0.040145985401459854,0.025974025974025976,0.5192307692307693,4
Mercury,60 to 90,1336,16,0.04940119760479042,0.0,0.0,0
Mercury,90 to 120,1539,49,0.03573749187784275,0.0,0.0,0
Mercury,120 to 150,1389,19,0.054715622750179986,0.0,0.0,0
Mercury,150 to 180,1380,40,0.058695652173913045,0.0,0.0,0
Venus,-180 to -150,1418,159,0.09873060648801128,0.06918238993710692,1.3829825834542815,11
Venus,-150 to -120,1392,76,0.029454022988505746,0.3026315789473684,6.049721659919028,23
Venus,-120 to -90,1306,9,0.0222052067381317,0.8888888888888888,17.769230769230766,8
Venus,-90 to -60,1284,0,0.04672897196261682,,,0
Venus,-60 to -30,1354,23,0.03175775480059084,0.0,0.0,0
Venus,-30 to 0,1426,107,0.07363253856942496,0.0,0.0,0
Venus,0 to 30,1438,180,0.03894297635605007,0.2,3.998076923076923,36
Venus,30 to 60,1370,154,0.03868613138686131,0.03896103896103896,0.7788461538461537,6
Venus,60 to 90,1336,16,0.06661676646706587,0.0,0.0,0
Venus,90 to 120,1539,49,0.043534762833008445,0.0,0.0,0
Venus,120 to 150,1389,19,0.051115910727141826,0.0,0.0,0
Venus,150 to 180,1380,40,0.05652173913043478,0.225,4.497836538461538,9
Mars,-180 to -150,1418,159,0.007052186177715092,0.0,0.0,0
Mars,-150 to -120,1392,76,0.033045977011494254,0.0,0.0,0
Mars,-120 to -90,1306,9,0.032924961715160794,0.0,0.0,0
Mars,-90 to -60,1284,0,0.056074766355140186,,,0
Mars,-60 to -30,1354,23,0.07459379615952733,0.8695652173913043,17.382943143812707,20
Mars,-30 to 0,1426,107,0.07012622720897616,0.34579439252336447,6.912562904385334,37
Mars,0 to 30,1438,180,0.10222531293463143,0.06111111111111111,1.2216346153846154,11
Mars,30 to 60,1370,154,0.032116788321167884,0.09090909090909091,1.8173076923076923,14
