s,f,D,V
1259.8627234474318,3.6886073692437416,4797.790923402059,1178448.4876000276
3779.5881703422956,7.066594388597268,13972.247091965235,1164898.4098221674
6299.31361723716,12.984349026406464,39508.6141438249,1139636.9736436505
8819.039064132023,18.521130328156428,90387.24590650952,1099944.394620494
11338.764511026886,18.822778807532973,164102.71159096266,1052896.195552631
13858.489957921749,10.45030531224918,235021.8152840781,1016016.1280697765
16378.215404816614,-4.789118526254314,264648.20700771,1008883.8098676284
18897.94085171148,-20.406872276289832,234178.86820412806,1040627.2994600781
21417.66629860634,-30.530605914126113,163671.3564445463,1104801.5294585996
23937.391745501205,-34.175300212306276,92825.11681418041,1186322.0885741806
26457.117192396065,-33.98625223295883,50367.072052482596,1272196.287672277
28976.84263929093,-31.97017715622629,49098.36147882731,1355292.3344314042
31496.568086185798,-27.128382919831356,103726.66718172282,1429748.407280648
34016.29353308066,-16.82430145570215,237146.58785736896,1485122.755920833
36536.01897997552,-0.7047212896086625,451236.85439581313,1507206.9182561121
39055.744426870384,16.136183036179727,684788.3930308151,1487765.3948333021
41575.46987376525,25.445170454687617,824611.6253397395,1435378.5975796676
44095.19532066012,22.96848445005752,793144.1255241364,1374384.0384593313
46614.92076755498,12.150503784620126,626544.3421654066,1330138.934297272
49134.64621444984,-0.8808445562914644,444989.54305199784,1315940.7107295454
51654.3716613447,-13.906989279659411,347610.5577424973,1334571.3513399945
54174.09710823957,-27.526628818442422,347030.11071740784,1386772.02227935
56693.82255513443,-38.73184243115348,390757.5155146613,1470248.6003193292
59213.548002029296,-39.89280839035254,420146.3114608117,1569304.867033415
61733.273448924156,-26.69967557273229,404939.33018120314,1653202.2552402765
64252.99889581902,-4.553584845969218,343574.5537023654,1692577.0730279936
66772.72434271389,16.248299142004708,254742.91802482752,1677843.3384250507
69292.44978960874,30.298627133424002,169769.6854467379,1619200.6011195825
71812.17523650362,39.625721191539476,118808.9682941936,1531105.5212036066
74331.90068339847,47.58787512295725,116786.68270101155,1421228.3622291803
76851.62613029333,52.65281682160002,160304.18345645515,1294938.851075656
79371.35157718821,49.422238028615546,230206.72257694215,1166338.2944760164
81891.07702408306,35.94409676813575,293825.4782950803,1058788.4314282567
84410.80247097794,18.138033576630292,316446.648929541,990652.3714022601
86930.5279178728,5.2944091120482115,286051.93782377354,961130.7103394759
89450.25336476765,2.4377486627209435,228016.7570353513,951389.2529872301
91969.97881166253,8.206882494736673,188083.38436490914,937978.478987102
94489.70425855738,18.009183716903795,197089.74540461437,904949.8344116267
97009.42970545225,27.061828935279113,248683.62039738233,848166.5456631137
99529.15515234711,31.37643107416591,307920.92888655013,774542.360254085
102048.88059924197,28.43837504026267,344931.2314449209,699183.9157202813
104568.60604613685,18.48376725244154,368032.5198772113,640068.4577414066
107088.3314930317,4.956015169457948,419550.44766601565,610537.5496223372
109608.05693992657,-6.949162910935341,525063.5362320723,613048.642164148
112127.78238682143,-12.856536654879415,642531.9499057316,638001.1047589171
114647.50783371628,-11.2732647626729,680935.4069272177,668401.3420890801
117167.23328061117,-4.117728505463213,587279.4460574863,687791.8807844353
119686.95872750602,4.6039497578449495,403259.1774075086,687179.3087532116
122206.68417440089,11.287097514455038,222218.02665114996,667158.7706582998
124726.40962129575,14.38080200600621,108203.14414724408,634820.7408632765
127246.1350681906,14.163248887754094,68168.21762699372,598859.1551660417
129765.86051508549,11.924906234975538,76173.12659912674,565991.6610034002
132285.58596198034,9.653702172260429,99521.48782494916,538805.5766472544
134805.31140887522,9.370827716999452,111544.79309162866,514837.28060866427
137325.03685577004,11.64676541466635,101682.02799559635,488357.9984854942
139844.76230266492,14.944314623221414,79774.16632862345,454856.8879695521
142364.4877495598,16.924246890762873,65775.16402454763,414706.87526819156
144884.21319645466,16.255981182033235,74525.09241816011,372904.3427637919
147403.9386433495,13.367435205814681,110613.10477703191,335582.90471558075
149923.6640902444,9.908887327142937,174286.22381363768,306257.93361736776
152443.38953713924,7.3306992329989065,262530.80430510524,284538.4211425998
154963.1149840341,5.711262965648374,356926.91565171833,268107.3391279136
157482.84043092898,4.262150631715479,418127.32961798966,255542.20711107098
160002.56587782386,2.7912425294392054,411631.0253172543,246655.89999351313
162522.29132471868,1.9264332660520331,343336.1750151662,240712.2761174636
165042.01677161356,2.125064218740685,256195.05938703328,235607.94546223222
167561.74221850844,3.631000486611387,188512.32708062936,228356.09410620772
170081.4676654033,7.171480610599953,149851.27277808337,214746.4508510857
172601.19311229815,13.161502601803615,140992.98397056316,189129.68324529612
175120.91855919303,19.653828171019132,183788.91501760125,147786.87124701904
177640.64400608788,22.380810265280065,313211.1881637439,94828.99718753528
180160.36945298273,18.2313955981597,526260.1324695207,43663.1929032146
182680.09489987761,8.699041905781625,739983.529123179,9734.538565868046
185199.8203467725,-0.9723758296310048,829608.5332062768,0.0
187719.54579366732,-6.273859148442926,735931.6802274035,9129.261334216222
190239.2712405622,-6.673759584462833,521774.2745105331,25441.48353321408
192758.99668745708,-4.655085353924327,306039.49028512376,39714.272970804246
195278.7221343519,-2.690900750172661,163215.36681269255,48969.20703031868
197798.4475812468,-1.7222353297255542,100214.43606631234,54529.15267088334
